Satzart;AGS;KREIS;BEV;CHRIST;RKAT;EVANG;SONST;KEINE;OANGABE;;PRKAT;PEVANG;;RKATEVANG
;;;79.652.370;53.239.990;24.886.180;24.573.050;4.212.120;8.349.740;13.850.520;;;;;
10;1;Gesamt;2.781.010;1.874.910;178.180;1.550.670;93.730;245.850;566.520;;;;;
40;1001;Flensburg, Stadt;81.780;55.940;5.790;46.410;3.550;6.720;15.570;;7,1;56,7;;63,8
40;1002;Kiel, Landes-hauptstadt;234.550;137.550;19.920;102.810;16.600;26.240;54.170;;8,5;43,8;;52,3
40;1003;Lübeck, Hansestadt;208.000;140.170;17.730;111.300;11.460;19.430;36.940;;8,5;53,5;;62,0
40;1004;Neumünster, Stadt;76.280;50.070;5.260;40.450;4.140;7.460;14.610;;6,9;53,0;;59,9
40;1051;Dithmarschen;132.920;102.570;6.200;91.570;2.350;8.860;19.150;;4,7;68,9;;73,6
40;1053;Herzogtum Lauenburg;186.110;122.990;12.470;101.000;5.260;15.950;41.910;;6,7;54,3;;61,0
40;1054;Nordfriesland;163.010;128.580;10.160;113.480;3.450;7.990;22.990;;6,2;69,6;;75,8
40;1055;Ostholstein;196.400;143.730;13.230;121.540;3.250;13.860;35.570;;6,7;61,9;;68,6
40;1056;Pinneberg;295.380;172.200;19.920;132.310;13.430;30.640;79.120;;6,7;44,8;;51,5
40;1057;Plön;127.150;91.620;6.350;79.600;1.980;7.480;26.060;;5,0;62,6;;67,6
40;1058;Rendsburg-Eckernförde;267.890;190.420;14.230;163.010;6.150;20.860;50.460;;5,3;60,8;;66,2
40;1059;Schleswig-Flensburg;194.220;151.740;8.550;135.530;3.630;11.750;27.100;;4,4;69,8;;74,2
40;1060;Segeberg;258.430;158.740;16.110;125.660;8.800;28.130;62.760;;6,2;48,6;;54,9
40;1061;Steinburg;130.000;90.630;5.480;79.530;3.150;12.590;23.620;;4,2;61,2;;65,4
40;1062;Stormarn;228.890;137.950;16.770;106.470;6.530;27.900;56.510;;7,3;46,5;;53,8
10;2;Gesamt;1.693.120;879.390;184.300;574.840;138.400;210.390;464.950;;;;;
40;2000;Hamburg, Freie und Hansestadt;1.693.120;879.390;184.300;574.840;138.400;210.390;464.950;;10,9;34,0;;44,8
10;3;;7.723.680;5.798.590;1.415.280;3.980.940;319.840;510.890;1.094.360;;;;;
20;31;Gesamt;1.565.800;1.138.870;231.240;820.560;72.870;116.540;237.520;;;;;
40;3101;Braunschweig, Stadt;240.350;153.850;33.760;105.560;16.020;20.790;49.690;;14,0;43,9;;58,0
40;3102;Salzgitter, Stadt;98.470;68.210;19.000;43.220;10.500;8.120;11.630;;19,3;43,9;;63,2
40;3103;Wolfsburg, Stadt;119.220;84.440;23.770;51.700;5.470;9.450;19.860;;19,9;43,4;;63,3
40;3151;Gifhorn;169.860;126.390;16.110;96.670;6.230;12.480;24.760;;9,5;56,9;;66,4
40;3152;Göttingen;246.160;185.520;58.810;115.220;10.070;17.860;32.710;;23,9;46,8;;70,7
40;3153;Goslar;139.160;103.590;15.620;80.560;4.640;11.520;19.400;;11,2;57,9;;69,1
40;3154;Helmstedt;90.920;66.680;9.880;52.270;2.300;7.200;14.740;;10,9;57,5;;68,4
